国家,类型,id,人数,漏斗,流失率0129,0127漏斗,0127流失率,流失率差值
BR,Guide,100101,"1,078",100.00%,,100.00%,,
BR,Guide,100102,"1,023",94.90%,5.10%,96.16%,3.84%,1.26%
BR,Guide,100201,"1,028",95.36%,-0.46%,96.96%,-0.80%,0.34%
BR,Guide,100202,"1,028",95.36%,0.00%,96.80%,0.16%,-0.16%
BR,Guide,100203,946,87.76%,7.61%,84.64%,12.16%,-4.55%
BR,Task,1010101,943,87.48%,0.28%,84.64%,0.00%,0.28%
BR,Guide,100204,932,86.46%,1.02%,84.16%,0.48%,0.54%
BR,Guide,100401,928,86.09%,0.37%,84.32%,-0.16%,0.53%
BR,Guide,100402,923,85.62%,0.46%,84.16%,0.16%,0.30%
BR,Guide,100403,919,85.25%,0.37%,84.00%,0.16%,0.21%
BR,Guide,100404,918,85.16%,0.09%,83.84%,0.16%,-0.07%
BR,Guide,100405,910,84.42%,0.74%,82.72%,1.12%,-0.38%
BR,Guide,100406,906,84.04%,0.37%,82.56%,0.16%,0.21%
BR,Guide,100501,905,83.95%,0.09%,82.56%,0.00%,0.09%
BR,Guide,100502,900,83.49%,0.46%,82.56%,0.00%,0.46%
BR,Task,1010102,910,84.42%,-0.93%,82.56%,0.00%,-0.93%
BR,Guide,100601,896,83.12%,1.30%,81.92%,0.64%,0.66%
BR,Guide,100602,888,82.37%,0.74%,80.96%,0.96%,-0.22%
BR,Guide,100603,887,82.28%,0.09%,80.96%,0.00%,0.09%
BR,Guide,100701,843,78.20%,4.08%,74.56%,6.40%,-2.32%
BR,Guide,100702,841,78.01%,0.19%,74.24%,0.32%,-0.13%
BR,Guide,100703,840,77.92%,0.09%,74.24%,0.00%,0.09%
BR,Guide,100704,839,77.83%,0.09%,74.24%,0.00%,0.09%
BR,Guide,100705,833,77.27%,0.56%,73.92%,0.32%,0.24%
BR,Guide,100706,832,77.18%,0.09%,73.92%,0.00%,0.09%
BR,Guide,100707,831,77.09%,0.09%,73.76%,0.16%,-0.07%
BR,Guide,100708,830,76.99%,0.09%,73.76%,0.00%,0.09%
BR,Guide,100709,830,76.99%,0.00%,73.76%,0.00%,0.00%
BR,Guide,100801,830,76.99%,0.00%,73.76%,0.00%,0.00%
BR,Task,1010201,836,77.55%,-0.56%,73.92%,-0.16%,-0.40%
BR,Task,10102011,744,69.02%,8.53%,63.68%,10.24%,-1.71%
BR,Task,10102012,678,62.89%,6.12%,58.88%,4.80%,1.32%
BR,Guide,101101,647,60.02%,2.88%,56.80%,2.08%,0.80%
BR,Task,10102013,632,58.63%,1.39%,53.92%,2.88%,-1.49%
BR,Task,1010202,601,55.75%,2.88%,50.08%,3.84%,-0.96%
BR,Task,1010301,595,55.19%,0.56%,48.96%,1.12%,-0.56%
BR,Task,1010302,557,51.67%,3.53%,45.92%,3.04%,0.49%
BR,Task,1010303,518,48.05%,3.62%,41.92%,4.00%,-0.38%
BR,Task,1010402,501,46.47%,1.58%,40.80%,1.12%,0.46%
BR,Task,1010403,495,45.92%,0.56%,39.68%,1.12%,-0.56%
BR,Task,10104031,483,44.81%,1.11%,37.76%,1.92%,-0.81%
BR,Task,1010404,446,41.37%,3.43%,35.04%,2.72%,0.71%
BR,Task,10104041,399,37.01%,4.36%,30.56%,4.48%,-0.12%
BR,Task,10104042,338,31.35%,5.66%,27.04%,3.52%,2.14%
BR,Task,10104043,318,29.50%,1.86%,26.24%,0.80%,1.06%
BR,Task,1010501,311,28.85%,0.65%,26.24%,0.00%,0.65%
BR,Task,1010502,304,28.20%,0.65%,26.08%,0.16%,0.49%
BR,Task,1010503,294,27.27%,0.93%,24.96%,1.12%,-0.19%
BR,Task,1010504,288,26.72%,0.56%,24.64%,0.32%,0.24%
BR,Task,1010601,283,26.25%,0.46%,24.48%,0.16%,0.30%
BR,Task,1010602,277,25.70%,0.56%,23.52%,0.96%,-0.40%
BR,Task,1010603,274,25.42%,0.28%,23.36%,0.16%,0.12%
BR,Task,1010604,268,24.86%,0.56%,22.72%,0.64%,-0.08%
BR,Task,1010605,259,24.03%,0.83%,21.92%,0.80%,0.03%
BR,Task,1010701,253,23.47%,0.56%,20.96%,0.96%,-0.40%
BR,Task,1010702,241,22.36%,1.11%,20.32%,0.64%,0.47%
BR,Task,1010703,236,21.89%,0.46%,20.16%,0.16%,0.30%
BR,Task,10107031,226,20.96%,0.93%,19.20%,0.96%,-0.03%
BR,Task,10107032,223,20.69%,0.28%,18.88%,0.32%,-0.04%
BR,Task,1010801,220,20.41%,0.28%,18.56%,0.32%,-0.04%
BR,Task,1010802,218,20.22%,0.19%,18.24%,0.32%,-0.13%
BR,Task,1010803,194,18.00%,2.23%,15.68%,2.56%,-0.33%
BR,Task,1010901,191,17.72%,0.28%,15.36%,0.32%,-0.04%
BR,Task,1010902,158,14.66%,3.06%,12.64%,2.72%,0.34%
BR,Task,10109021,147,13.64%,1.02%,12.16%,0.48%,0.54%
BR,Task,10109022,146,13.54%,0.09%,12.16%,0.00%,0.09%
BR,Task,1010903,144,13.36%,0.19%,12.16%,0.00%,0.19%
BR,Task,1010904,135,12.52%,0.83%,11.20%,0.96%,-0.13%
BR,Task,1010905,133,12.34%,0.19%,11.04%,0.16%,0.03%
BR,Task,1011001,133,12.34%,0.00%,10.08%,0.96%,-0.96%
BR,Task,1011002,129,11.97%,0.37%,9.92%,0.16%,0.21%
BR,Task,1011003,126,11.69%,0.28%,9.92%,0.00%,0.28%
BR,Task,1011004,120,11.13%,0.56%,9.92%,0.00%,0.56%
BR,Task,1011101,109,10.11%,1.02%,8.00%,1.92%,-0.90%
BR,Task,10111011,109,10.11%,0.00%,8.00%,0.00%,0.00%
BR,Task,1011102,108,10.02%,0.09%,8.00%,0.00%,0.09%
BR,Task,1011103,106,9.83%,0.19%,8.00%,0.00%,0.19%
BR,Task,1011104,96,8.91%,0.93%,7.36%,0.64%,0.29%
BR,Task,1011105,90,8.35%,0.56%,7.36%,0.00%,0.56%
BR,Task,1011201,89,8.26%,0.09%,7.36%,0.00%,0.09%
BR,Task,1011202,89,8.26%,0.00%,7.36%,0.00%,0.00%
BR,Task,1011203,77,7.14%,1.11%,6.08%,1.28%,-0.17%
BR,Task,1011301,54,5.01%,2.13%,4.64%,1.44%,0.69%
BR,Task,1011302,53,4.92%,0.09%,4.48%,0.16%,-0.07%
BR,Task,1011303,50,4.64%,0.28%,4.16%,0.32%,-0.04%
BR,Task,1011304,49,4.55%,0.09%,4.16%,0.00%,0.09%
BR,Task,1011305,36,3.34%,1.21%,3.20%,0.96%,0.25%
BR,Task,10113051,35,3.25%,0.09%,3.20%,0.00%,0.09%
BR,Task,1011306,33,3.06%,0.19%,3.04%,0.16%,0.03%
BR,Task,1011401,33,3.06%,0.00%,2.88%,0.16%,-0.16%
BR,Task,1011402,31,2.88%,0.19%,2.88%,0.00%,0.19%
BR,Task,1011403,30,2.78%,0.09%,2.88%,0.00%,0.09%
BR,Task,1011404,30,2.78%,0.00%,2.88%,0.00%,0.00%
BR,Task,1011405,30,2.78%,0.00%,2.88%,0.00%,0.00%
BR,Task,1011501,30,2.78%,0.00%,2.88%,0.00%,0.00%
BR,Task,1011502,30,2.78%,0.00%,2.88%,0.00%,0.00%
BR,Task,1011503,30,2.78%,0.00%,2.88%,0.00%,0.00%
BR,Task,10115031,30,2.78%,0.00%,2.88%,0.00%,0.00%
BR,Task,1011601,30,2.78%,0.00%,2.56%,0.32%,-0.32%
BR,Task,1011602,30,2.78%,0.00%,2.56%,0.00%,0.00%
BR,Task,1011603,28,2.60%,0.19%,2.40%,0.16%,0.03%
BR,Task,1011604,28,2.60%,0.00%,2.40%,0.00%,0.00%
BR,Task,1011605,28,2.60%,0.00%,2.40%,0.00%,0.00%
BR,Task,1011606,27,2.50%,0.09%,2.24%,0.16%,-0.07%
BR,Task,1011701,27,2.50%,0.00%,2.24%,0.00%,0.00%
BR,Task,10117011,27,2.50%,0.00%,2.24%,0.00%,0.00%
BR,Task,1011702,27,2.50%,0.00%,2.24%,0.00%,0.00%
BR,Task,1011703,27,2.50%,0.00%,2.08%,0.16%,-0.16%
BR,Task,1011704,27,2.50%,0.00%,2.08%,0.00%,0.00%
BR,Task,1011705,24,2.23%,0.28%,1.92%,0.16%,0.12%
BR,Task,1011801,18,1.67%,0.56%,1.28%,0.64%,-0.08%
BR,Task,1011802,17,1.58%,0.09%,1.28%,0.00%,0.09%
BR,Task,1011803,17,1.58%,0.00%,1.28%,0.00%,0.00%
BR,Task,1011804,16,1.48%,0.09%,1.12%,0.16%,-0.07%
BR,Task,1011805,15,1.39%,0.09%,1.12%,0.00%,0.09%
BR,Task,1011901,15,1.39%,0.00%,1.12%,0.00%,0.00%
BR,Task,1011902,12,1.11%,0.28%,0.80%,0.32%,-0.04%
BR,Task,10119021,11,1.02%,0.09%,0.80%,0.00%,0.09%
BR,Task,1011903,11,1.02%,0.00%,0.80%,0.00%,0.00%
BR,Task,1011904,11,1.02%,0.00%,0.80%,0.00%,0.00%
BR,Task,1011905,11,1.02%,0.00%,0.80%,0.00%,0.00%
BR,Task,1011906,10,0.93%,0.09%,0.80%,0.00%,0.09%
BR,Task,1012001,10,0.93%,0.00%,0.80%,0.00%,0.00%
BR,Task,1012002,10,0.93%,0.00%,0.80%,0.00%,0.00%
BR,Task,1012003,10,0.93%,0.00%,0.80%,0.00%,0.00%
BR,Task,1012004,10,0.93%,0.00%,0.80%,0.00%,0.00%
BR,Task,10120041,8,0.74%,0.19%,0.64%,0.16%,0.03%
